Top rotor RPM,Bottom rotor RPM,x/Diameter,z/Diameter,Top rotor thrust (N),Bottom rotor thrust (N),Top rotor torque (Nm),Bottom rotor torque (Nm),Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9
17040.0,17040.0,0.0,0.875,2.644,0.20221,0.034021,0.0015467,75.71755436363637,76.62107927272727,75.43395536363637,77.16472954545453,77.77993599999999,77.29890918181817,80.36114709090909,75.71755436363637,75.71755436363637
17040.0,12780.0,0.0,0.875,3.5447,0.23124,0.032123,0.0016826,70.003918,70.878352,70.330319,71.76927500000001,72.179936,71.597091,74.87023800000001,70.003918,70.003918
12780.0,17040.0,0.0,0.875,0.76175,0.11235,0.015241,0.0008483,72.18119072727272,73.06653381818181,72.33395536363636,74.02836590909091,73.71629963636363,74.46254554545455,76.87932890909092,72.18119072727272,72.18119072727272
12780.0,12780.0,0.275,0.875,0.86428,0.13183,0.0076491,0.00083945,65.453918,66.428352,65.600319,67.519275,67.899936,66.077091,70.250238,65.453918,65.453918
17040.0,17040.0,0.275,0.875,1.9199,0.14959,0.022787,0.0011262,73.16300890909089,72.70289745454546,73.9612280909091,75.3374568181818,75.91629963636363,76.317091,77.33387436363637,73.16300890909089,73.16300890909089
17040.0,12780.0,0.275,0.875,2.3059,0.15763,0.030849,0.0011771,70.783918,69.758352,70.61031899999999,73.33927500000001,72.479936,73.417091,75.210238,70.783918,70.783918
12780.0,17040.0,0.275,0.875,0.48172,0.0966,0.0083335,0.00067353,69.183918,69.878352,69.24031900000001,71.55927499999999,72.74993599999999,70.73709099999999,73.360238,69.183918,69.183918
12780.0,12780.0,0.55,0.875,1.1502,0.14287,0.015768,0.0010122,65.803918,65.688352,63.93031900000001,67.559275,67.27993599999999,66.027091,69.930238,65.803918,65.803918
17040.0,17040.0,0.55,0.875,2.5298,0.15818,0.029892,0.0012188,75.49028163636363,75.93017018181818,75.28850081818183,79.54654772727271,78.87993599999999,79.44436372727273,80.65205618181818,75.49028163636363,75.49028163636363
17040.0,12780.0,0.55,0.875,3.0349,0.10991,0.028512,0.00082782,71.853918,71.9301701818182,72.00668263636364,75.64654772727273,74.54357236363636,75.32618190909089,76.53387436363637,71.853918,71.853918
12780.0,17040.0,0.55,0.875,0.91551,0.14517,0.018081,0.0010068,69.18391799999999,69.758352,67.90031900000001,71.94927500000001,71.97993600000001,70.647091,74.150238,69.18391799999999,69.18391799999999
12780.0,12780.0,0.825,0.875,1.5998,0.10609,0.019161,0.00070531,63.943918,64.74835200000001,63.850319,65.15927500000001,66.749936,64.31709099999999,67.210238,63.943918,63.943918
17040.0,17040.0,0.825,0.875,3.4032,0.11928,0.036364,0.00093572,70.58119072727273,70.63926109090909,71.64304627272728,72.819275,73.66175418181818,73.84436372727272,73.24296527272728,70.58119072727273,70.58119072727273
17040.0,12780.0,0.825,0.875,3.3321,0.098918,0.034185,0.00067224,69.94482709090909,70.30289745454547,70.94304627272727,71.30109318181819,72.71629963636364,72.38072736363637,73.53387436363636,69.94482709090909,69.94482709090909
12780.0,17040.0,0.825,0.875,1.4983,0.083111,0.019924,0.00064064,64.54482709090908,64.93926109090908,64.42486445454546,67.30109318181819,67.95266327272728,67.41709100000001,67.41569254545453,64.54482709090908,64.54482709090908
12780.0,12780.0,1.1,0.875,1.6719,0.031554,0.013641,0.00011926,60.473918000000005,61.12835200000001,60.760319,61.099275,62.369935999999996,61.367091,62.810238000000005,60.473918000000005,60.473918000000005
17040.0,17040.0,1.1,0.875,3.6859,0.029259,0.029525,0.00017403,67.65391799999999,68.11198836363634,66.29759172727273,70.16472954545453,70.73448145454545,69.48981827272728,69.16114709090908,67.65391799999999,67.65391799999999
17040.0,12780.0,1.1,0.875,3.5738,0.083314,0.033823,0.00058153,65.40846345454544,66.92107927272727,65.58850081818183,67.27382045454546,69.08902690909092,67.79890918181819,68.13387436363637,65.40846345454544,65.40846345454544
